nama_kabupaten_kota,periode_update,kategori,jumlah,sumber
KABUPATEN BANGKALAN,2025-08-01,BERAS MEDIUM,11500,bps
KABUPATEN BANGKALAN,2025-09-01,BERAS MEDIUM,12000,bps
KABUPATEN BANGKALAN,2025-10-01,BERAS MEDIUM,12500,bps
KABUPATEN BANGKALAN,2025-11-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2025-12-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-01-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-02-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-03-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-04-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-05-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2026-06-01,BERAS MEDIUM,12400,bps
KABUPATEN BANGKALAN,2025-08-01,BERAS PREMIUM,14000,bps
KABUPATEN BANGKALAN,2025-09-01,BERAS PREMIUM,14500,bps
KABUPATEN BANGKALAN,2025-10-01,BERAS PREMIUM,15000,bps
KABUPATEN BANGKALAN,2025-11-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2025-12-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-01-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-02-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-03-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-04-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-05-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2026-06-01,BERAS PREMIUM,14800,bps
KABUPATEN BANGKALAN,2025-08-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2025-09-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2025-10-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2025-11-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2025-12-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-01-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-02-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-03-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-04-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-05-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2026-06-01,JAGUNG PIPIL KERING,7000,bps
KABUPATEN BANGKALAN,2025-08-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2025-09-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2025-10-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2025-11-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2025-12-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-01-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-02-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-03-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-04-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-05-01,KEDELAI,0,bps
KABUPATEN BANGKALAN,2026-06-01,KEDELAI,0,bps
KABUPATEN BANYUWANGI,2025-08-01,BERAS MEDIUM,12220,bps
KABUPATEN BANYUWANGI,2025-09-01,BERAS MEDIUM,12200,bps
